,GISJOIN,Accessories,Active Life,American (New),American (Traditional),Apartments,Appliances,Appliances & Repair,Arts & Crafts,Arts & Entertainment,Asian Fusion,Auto Detailing,Auto Glass Services,Auto Parts & Supplies,Auto Repair,Automotive,Bagels,Bakeries,Banks & Credit Unions,Barbeque,Barbers,Bars,Beauty & Spas,"Beer, Wine & Spirits",Bikes,Body Shops,"Books, Mags, Music & Video",Bookstores,Breakfast & Brunch,Buffets,Burgers,Cafes,Car Dealers,Car Rental,Car Wash,Carpet Cleaning,Caterers,Chicken Wings,Chinese,Chiropractors,Churches,Cinema,Coffee & Tea,Contractors,Convenience Stores,Cosmetic Dentists,Cosmetics & Beauty Supply,Day Spas,Delis,Dentists,Department Stores,Desserts,Diners,Discount Store,Dive Bars,Doctors,Donuts,Drugstores,Dry Cleaning & Laundry,Education,Electronics,Ethnic Food,Event Planning & Services,Eyelash Service,Eyewear & Opticians,Family Practice,Fashion,Fast Food,Financial Services,Fitness & Instruction,Florists,Flowers & Gifts,Food,Furniture Stores,Gas & Service Stations,General Dentistry,Gluten-Free,Golf,Greek,Grocery,Gyms,Hair Removal,Hair Salons,Hair Stylists,Hardware Stores,Health & Medical,Health Markets,Heating & Air Conditioning/HVAC,Hobby Shops,Home & Garden,Home Cleaning,Home Decor,Home Services,Hot Dogs,Hotels,Hotels & Travel,IT Services & Computer Repair,Ice Cream & Frozen Yogurt,Indian,Insurance,Italian,Japanese,Jewelry,Juice Bars & Smoothies,Landscaping,Latin American,Local Services,Lounges,Makeup Artists,Massage,Massage Therapy,Medical Centers,Mediterranean,Men's Clothing,Mexican,Middle Eastern,Mobile Phones,Movers,Music Venues,Nail Salons,Nightlife,Notaries,Nurseries & Gardening,Oil Change Stations,Optometrists,Parks,Party & Event Planning,Performing Arts,Pet Boarding/Pet Sitting,Pet Groomers,Pet Services,Pet Stores,Pet Training,Pets,Photographers,Pizza,Plumbing,Printing Services,Professional Services,Public Services & Government,Pubs,Real Estate,Real Estate Services,Religious Organizations,Restaurants,Salad,Sandwiches,Seafood,Self Storage,Sewing & Alterations,Shipping Centers,Shoe Stores,Shopping,Skin Care,Southern,Specialty Food,Specialty Schools,Sporting Goods,Sports Bars,Sports Wear,Steakhouses,Sushi Bars,Tanning,Tattoo,Tex-Mex,Thai,Thrift Stores,Tires,Tobacco Shops,Toy Stores,Trainers,Transportation,Urgent Care,"Used, Vintage & Consignment",Vape Shops,Vegetarian,Venues & Event Spaces,Veterinarians,Vietnamese,Wine Bars,Women's Clothing,Yoga
0,G0400070000700,,,,,,,,,,,,,,,,,,,,,,,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.33333333333,,,,,,,,,,3.8,,,,,,,4.16666666667,,,,,,,,,,,,,,,3.33333333333,3.33333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,G0400130010101,,4.25641025641,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.71428571429,,,,,,,,,,,,,,,,,,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,G0400130010102,,4.04444444444,,3.34693877551,,,,,,,,,,,,,,,,,,3.33333333333,,,,,,3.86666666667,,,,,,,,,,,,4.66666666667,,,,,,,,3.86666666667,,,,,,,,,,,,,,4.44444444444,,,,,,,5.0,,,3.0,,,,,4.77777777778,,,,,,,,,,,,,,,5.0,,,4.41666666667,,,,,3.32,,,,,,,,,,,,,,3.55072463768,,,,,3.33333333333,,,,,,,4.40740740741,,,,,,,,,,5.0,,,3.55072463768,,,,4.66666666667,3.34408602151,,,2.81395348837,,,,,3.55072463768,,,,,,,,,,,,3.55555555556,,,,,,5.0,,,,,,4.55555555556,,,,,
3,G0400130030401,3.71428571429,4.53333333333,3.7049689441,3.0,,,,4.5,3.28767123288,,,,,,,,4.6,,,4.83333333333,4.23076923077,3.87755102041,4.5,,,,,3.65217391304,,,3.55681818182,,,,,,,3.0,,,,3.75,,,,4.0,3.72023809524,4.5,,,,,,,3.0,,,1.0,,,,3.77564102564,,,,3.71428571429,,5.0,,5.0,5.0,4.13541666667,,,,4.28888888889,4.77777777778,3.92,2.4,,,4.35294117647,,3.76923076923,3.0,,3.42857142857,4.5,3.76923076923,,,3.84615384615,,3.75974025974,3.75974025974,4.25,3.875,,5.0,3.93023255814,,4.5,,,,2.85714285714,,,,,,4.17777777778,,3.69958847737,,,,3.27941176471,4.15384615385,3.54255319149,,,,,4.16666666667,,,,,,,,,,3.84444444444,3.42857142857,,4.25,,,,,,3.78482758621,,3.71428571429,,,,,,4.10810810811,,,,,,,,2.88888888889,,,,,,,,4.6,,,,,,,,,,,4.34782608696,3.71428571429,
4,G0400130030402,,4.32894736842,3.88277511962,3.57623762376,,,,5.0,4.10169491525,4.45901639344,3.0,,,4.69230769231,4.22222222222,4.24242424242,,,3.95238095238,4.14285714286,3.92682926829,4.51162790698,,4.89473684211,,,,3.96453900709,,,4.14563106796,,,3.0,,5.0,,,,,,4.1954887218,,,,,3.33333333333,,,5.0,,3.63758389262,,3.11111111111,,,,,,,,5.0,,,,4.0,,,5.0,,4.875,4.17525773196,4.27272727273,,,4.03125,3.83333333333,4.07142857143,,,,4.40909090909,,,5.0,,,4.25,3.60714285714,,3.44444444444,5.0,4.7,,4.83333333333,,,4.0,,3.58108108108,,5.0,,,,4.0,,,,5.0,,,,3.63176895307,,,,4.25531914894,4.57575757576,3.67889908257,,,,,4.47058823529,,,,,,,,5.0,,3.59259259259,,,,4.33333333333,,,,,3.79032258065,,,3.68468468468,,,,3.8,3.98319327731,4.5625,,4.42857142857,,4.89473684211,,,3.60086767896,,,,,,3.5,4.69230769231,,,5.0,,,4.0,,,,,,4.07142857143,,
5,G0400130040502,,4.44444444444,2.83333333333,3.90566037736,,,,,4.625,,,,,,3.54545454545,,4.57142857143,,4.225,,3.1,,,,,,,3.92537313433,,3.6,4.08,,,,,,,4.125,,,,4.25,,3.66666666667,,,,4.21818181818,,,,2.0,,,,3.75,,,,,,3.92,,,,,2.86956521739,,,,,4.22950819672,,3.66666666667,,,4.0,,,,,,,,,,,,,,,,,3.92,4.0,,4.15625,,,4.17647058824,,,,,,,,,,,,4.57142857143,,3.82575757576,,,,,,3.53448275862,,,,,,,,,,,,,5.0,,4.15,,,,3.33333333333,,,,,3.84489795918,,4.10204081633,,,,,,,,,,,,2.75,,2.84210526316,,,,3.5,,,,,,,5.0,,,,,,5.0,,,,
6,G0400130040506,,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75,,,,,,,,,,,,,,,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75,,,,,
7,G0400130040507,,,2.0,3.83333333333,,,,5.0,2.0,,3.58974358974,3.66666666667,4.38095238095,4.78260869565,3.97872340426,,,,,,2.0,,,,,,,,,,3.0,3.33333333333,3.375,3.58974358974,,,,2.875,,,,,,,,,,,,,,,,,2.65384615385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.66666666667,2.90322580645,,,,4.64705882353,,,3.70588235294,,,3.375,,,,,3.74074074074,,,,,,3.57142857143,,,,,,,,,,,3.57142857143,2.0,,2.0,,,3.66666666667,,,,,4.5,3.0,4.125,,,4.27272727273,,4.15789473684,5.0,,4.66666666667,,,,,,3.48,,,2.875,3.57142857143,,,,4.7,,,,,,2.0,,,,,,,,,4.04545454545,,,,,,,,,,4.66666666667,,,,
8,G0400130040512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,5.0,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
9,G0400130040515,,3.57142857143,,2.6,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.71428571429,,,,,3.0,,,,,,,,,,3.71428571429,,,,,,,,,,,,,,,,,,4.47058823529,,,,,,,,,,,,,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.71428571429,,,,,
