,GISJOIN,TotalReviews,Accessories,Active Life,American (New),American (Traditional),Apartments,Appliances,Appliances & Repair,Arts & Crafts,Arts & Entertainment,Asian Fusion,Auto Detailing,Auto Glass Services,Auto Parts & Supplies,Auto Repair,Automotive,Bagels,Bakeries,Banks & Credit Unions,Barbeque,Barbers,Bars,Beauty & Spas,"Beer, Wine & Spirits",Bikes,Body Shops,"Books, Mags, Music & Video",Bookstores,Breakfast & Brunch,Buffets,Burgers,Cafes,Car Dealers,Car Rental,Car Wash,Carpet Cleaning,Caterers,Chicken Wings,Chinese,Chiropractors,Churches,Cinema,Coffee & Tea,Contractors,Convenience Stores,Cosmetic Dentists,Cosmetics & Beauty Supply,Day Spas,Delis,Dentists,Department Stores,Desserts,Diners,Discount Store,Dive Bars,Doctors,Donuts,Drugstores,Dry Cleaning & Laundry,Education,Electronics,Ethnic Food,Event Planning & Services,Eyelash Service,Eyewear & Opticians,Family Practice,Fashion,Fast Food,Financial Services,Fitness & Instruction,Florists,Flowers & Gifts,Food,Furniture Stores,Gas & Service Stations,General Dentistry,Gluten-Free,Golf,Greek,Grocery,Gyms,Hair Removal,Hair Salons,Hair Stylists,Hardware Stores,Health & Medical,Health Markets,Heating & Air Conditioning/HVAC,Hobby Shops,Home & Garden,Home Cleaning,Home Decor,Home Services,Hot Dogs,Hotels,Hotels & Travel,IT Services & Computer Repair,Ice Cream & Frozen Yogurt,Indian,Insurance,Italian,Japanese,Jewelry,Juice Bars & Smoothies,Landscaping,Latin American,Local Services,Lounges,Makeup Artists,Massage,Massage Therapy,Medical Centers,Mediterranean,Men's Clothing,Mexican,Middle Eastern,Mobile Phones,Movers,Music Venues,Nail Salons,Nightlife,Notaries,Nurseries & Gardening,Oil Change Stations,Optometrists,Parks,Party & Event Planning,Performing Arts,Pet Boarding/Pet Sitting,Pet Groomers,Pet Services,Pet Stores,Pet Training,Pets,Photographers,Pizza,Plumbing,Printing Services,Professional Services,Public Services & Government,Pubs,Real Estate,Real Estate Services,Religious Organizations,Restaurants,Salad,Sandwiches,Seafood,Self Storage,Sewing & Alterations,Shipping Centers,Shoe Stores,Shopping,Skin Care,Southern,Specialty Food,Specialty Schools,Sporting Goods,Sports Bars,Sports Wear,Steakhouses,Sushi Bars,Tanning,Tattoo,Tex-Mex,Thai,Thrift Stores,Tires,Tobacco Shops,Toy Stores,Trainers,Transportation,Urgent Care,"Used, Vintage & Consignment",Vape Shops,Vegetarian,Venues & Event Spaces,Veterinarians,Vietnamese,Wine Bars,Women's Clothing,Yoga
0,G0400070000700,13,,,,,,,,,,,,,,,,,,,,,,,0.0769230769231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0769230769231,,,,,,,,,,0.153846153846,,,,,,,0.0769230769231,,,,,,,,,,,,,,,0.0769230769231,0.0769230769231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,G0400130010101,39,,0.102564102564,,0.025641025641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0769230769231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025641025641,,,,,,,,,,,,,,,,,,,0.025641025641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,G0400130010102,450,,0.0244444444444,,0.00444444444444,,,,,,,,,,,,,,,,,,0.00222222222222,,,,,,0.00222222222222,,,,,,,,,,,,0.00222222222222,,,,,,,,0.00222222222222,,,,,,,,,,,,,,0.00444444444444,,,,,,,0.00222222222222,,,0.00222222222222,,,,,0.00444444444444,,,,,,,,,,,,,,,0.00222222222222,,,0.00888888888889,,,,,0.00222222222222,,,,,,,,,,,,,,0.00222222222222,,,,,0.00222222222222,,,,,,,0.00222222222222,,,,,,,,,,0.00222222222222,,,0.00222222222222,,,,0.00222222222222,0.0133333333333,,,0.00444444444444,,,,,0.00222222222222,,,,,,,,,,,,0.00222222222222,,,,,,0.00222222222222,,,,,,0.00222222222222,,,,,
3,G0400130030401,1060,0.000943396226415,0.00188679245283,0.00660377358491,0.00188679245283,,,,0.000943396226415,0.00283018867925,,,,,,,,0.000943396226415,,,0.000943396226415,0.00188679245283,0.00754716981132,0.000943396226415,,,,,0.00188679245283,,,0.00188679245283,,,,,,,0.000943396226415,,,,0.000943396226415,,,,0.000943396226415,0.00377358490566,0.000943396226415,,,,,,,0.000943396226415,,,0.000943396226415,,,,0.00377358490566,,,,0.000943396226415,,0.000943396226415,,0.000943396226415,0.000943396226415,0.00566037735849,,,,0.000943396226415,0.000943396226415,0.000943396226415,0.000943396226415,,,0.00188679245283,,0.000943396226415,0.000943396226415,,0.000943396226415,0.000943396226415,0.000943396226415,,,0.00188679245283,,0.00283018867925,0.00283018867925,0.000943396226415,0.000943396226415,,0.000943396226415,0.00283018867925,,0.000943396226415,,,,0.00188679245283,,,,,,0.00188679245283,,0.00188679245283,,,,0.000943396226415,0.00188679245283,0.00283018867925,,,,,0.000943396226415,,,,,,,,,,0.00188679245283,0.000943396226415,,0.000943396226415,,,,,,0.0216981132075,,0.00283018867925,,,,,,0.00660377358491,,,,,,,,0.000943396226415,,,,,,,,0.000943396226415,,,,,,,,,,,0.000943396226415,0.000943396226415,
4,G0400130030402,2343,,0.00384122919334,0.00170721297482,0.00384122919334,,,,0.000426803243705,0.00128040973111,0.000426803243705,0.000426803243705,,,0.000426803243705,0.000853606487409,0.000426803243705,,,0.00128040973111,0.000853606487409,0.00170721297482,0.00298762270593,,0.000426803243705,,,,0.00213401621852,,,0.00170721297482,,,0.000426803243705,,0.000426803243705,,,,,,0.00213401621852,,,,,0.000426803243705,,,0.000426803243705,,0.000853606487409,,0.000426803243705,,,,,,,,0.000853606487409,,,,0.00170721297482,,,0.000426803243705,,0.000853606487409,0.00426803243705,0.000853606487409,,,0.000426803243705,0.000853606487409,0.000426803243705,,,,0.00128040973111,,,0.000426803243705,,,0.000426803243705,0.00256081946223,,0.00170721297482,0.000426803243705,0.000426803243705,,0.00128040973111,,,0.000426803243705,,0.00128040973111,,0.000426803243705,,,,0.000426803243705,,,,0.000426803243705,,,,0.00128040973111,,,,0.000426803243705,0.00170721297482,0.00213401621852,,,,,0.000853606487409,,,,,,,,0.000426803243705,,0.00128040973111,,,,0.000426803243705,,,,,0.0162185232608,,,0.000426803243705,,,,0.000426803243705,0.00725565514298,0.000426803243705,,0.000853606487409,,0.000426803243705,,,0.00170721297482,,,,,,0.000853606487409,0.000426803243705,,,0.000426803243705,,,0.000426803243705,,,,,,0.000426803243705,,
5,G0400130040502,559,,0.00357781753131,0.00357781753131,0.00894454382826,,,,,0.00178890876565,,,,,,0.00357781753131,,0.00178890876565,,0.00178890876565,,0.00357781753131,,,,,,,0.00715563506261,,0.00536672629696,0.00357781753131,,,,,,,0.00178890876565,,,,0.00178890876565,,0.00178890876565,,,,0.00178890876565,,,,0.00178890876565,,,,0.00178890876565,,,,,,0.00715563506261,,,,,0.00715563506261,,,,,0.0107334525939,,0.00178890876565,,,0.00178890876565,,,,,,,,,,,,,,,,,0.00715563506261,0.00894454382826,,0.00357781753131,,,0.00178890876565,,,,,,,,,,,,0.00178890876565,,0.00715563506261,,,,,,0.00894454382826,,,,,,,,,,,,,0.00178890876565,,0.00536672629696,,,,0.00178890876565,,,,,0.0590339892665,,0.00536672629696,,,,,,,,,,,,0.00178890876565,,0.00357781753131,,,,0.00178890876565,,,,,,,0.00178890876565,,,,,,0.00178890876565,,,,
6,G0400130040506,4,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,
7,G0400130040507,277,,,0.00361010830325,0.0072202166065,,,,0.00361010830325,0.00361010830325,,0.0072202166065,0.00361010830325,0.0072202166065,0.014440433213,0.0361010830325,,,,,,0.00361010830325,,,,,,,,,,0.00361010830325,0.00361010830325,0.00361010830325,0.0072202166065,,,,0.00361010830325,,,,,,,,,,,,,,,,,0.0072202166065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00361010830325,0.0108303249097,,,,0.0072202166065,,,0.0108303249097,,,0.00361010830325,,,,,0.00361010830325,,,,,,0.00361010830325,,,,,,,,,,,0.00361010830325,0.00361010830325,,0.00361010830325,,,0.00361010830325,,,,,0.00361010830325,0.00361010830325,0.0072202166065,,,0.0108303249097,,0.0072202166065,0.00361010830325,,0.00361010830325,,,,,,0.028880866426,,,0.00361010830325,0.00361010830325,,,,0.0108303249097,,,,,,0.00361010830325,,,,,,,,,0.0072202166065,,,,,,,,,,0.00361010830325,,,,
8,G0400130040512,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,0.5,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
9,G0400130040515,41,,0.0731707317073,,0.0243902439024,,,,,0.0243902439024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0243902439024,,,,,0.0243902439024,,,,,,,,,,0.0243902439024,,,,,,,,,,,,,,,,,,0.0731707317073,,,,,,,,,,,,,,,,,,,0.0243902439024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0731707317073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0243902439024,,,,,
