,GISJOIN,Active Life,American (New),American (Traditional),Auto Parts & Supplies,Auto Repair,Automotive,Bakeries,Barbeque,Bars,Beauty & Spas,"Beer, Wine & Spirits",Breakfast & Brunch,Buffets,Burgers,Caterers,Chicken Wings,Chinese,Coffee & Tea,Convenience Stores,Delis,Department Stores,Diners,Donuts,Drugstores,Event Planning & Services,Fashion,Fast Food,Fitness & Instruction,Flowers & Gifts,Food,Gas & Service Stations,Grocery,Gyms,Hair Removal,Hair Salons,Health & Medical,Home & Garden,Hotels,Hotels & Travel,Ice Cream & Frozen Yogurt,Italian,Japanese,Local Services,Meat Shops,Mexican,Nail Salons,Nightlife,Oil Change Stations,Parks,Pet Services,Pets,Pizza,Pubs,Restaurants,Salad,Sandwiches,Shopping,Specialty Food,Sports Bars,Steakhouses,Sushi Bars,Tex-Mex,Tires,Venues & Event Spaces,Veterinarians
0,G0400070,,,,,,,,,,,3.25,,,,,,,,,,,,,,3.33333333333,,,,,3.8,,4.16666666667,,,,,,3.33333333333,3.33333333333,,,,,,,,,,,,,,,,,,,,,,,,,,
1,G0400130,3.95599831457,3.83545774648,3.54218411632,3.94504896627,3.99727767695,3.70429908845,3.90425420717,3.72079646018,3.69296171171,4.08746923331,3.95865451997,3.83782497157,3.52254447965,3.61655508217,3.93029739777,3.20293829579,3.58339540196,3.99170516068,3.67260692464,3.77189048855,3.201018574,3.67092266924,3.82583397983,3.26015473888,3.6903017509,3.58139534884,3.42110170707,3.98942508192,3.98151688974,3.91401362713,3.46837469976,3.71470342523,3.67380199465,4.25668449198,4.27853939782,3.91089271089,3.66988171065,3.51916376307,3.42544791983,3.99348708093,3.87238991245,3.68397857482,3.94931129477,4.16424116424,3.65411476029,3.80966138911,3.68642380682,3.41867954911,4.24364261168,4.11549062845,4.13817082389,3.80757335931,3.83235446537,3.73457524146,3.95126116658,3.84358765726,3.73499524067,4.09922504179,3.28917731081,3.67295722421,3.70536458333,3.44884591391,3.79519825391,3.78969636635,4.20504605527
2,G0400210,4.07264957265,3.40752351097,3.6173594132,4.45454545455,3.8431372549,3.9224137931,4.66666666667,4.10769230769,3.37844611529,3.99230769231,,3.29842931937,2.95705521472,3.12138728324,3.92857142857,2.4606741573,3.59944751381,4.16666666667,3.79166666667,3.81818181818,2.325,3.80985915493,3.37777777778,2.91666666667,3.33673469388,2.51063829787,2.93697478992,1.0,3.27272727273,3.83333333333,3.61904761905,3.00806451613,1.0,3.6,4.16,3.41025641026,3.84210526316,3.18300653595,3.41417910448,3.90099009901,3.54824561404,4.01724137931,3.65217391304,4.41095890411,3.36719706242,4.06382978723,3.38780487805,3.47368421053,4.76923076923,4.14285714286,4.05882352941,3.25201072386,4.42857142857,3.50119268487,1.0,3.41450777202,3.29680365297,4.20149253731,3.07729468599,3.55188679245,3.90163934426,2.97222222222,4.25,3.2,3.85294117647
3,G0400250,4.33333333333,,3.388,,,2.25,,,,,,,,,,,,,2.25,,,,,,,,,,,2.57142857143,2.25,,,,,,,,,,,,,,,,,,4.33333333333,,,,,3.388,,,3.0,3.0,,,,,,,
4,G1700190,4.32926829268,3.64395604396,3.47222222222,3.0,4.10280373832,3.7277486911,3.65268065268,4.2798573975,3.62860650706,3.93006993007,4.31034482759,3.58459979737,3.33333333333,3.11447811448,3.53719008264,2.725,3.83692722372,3.55705996132,2.76470588235,4.06034482759,3.0243902439,3.31147540984,2.63157894737,3.16666666667,3.53045685279,3.58918918919,3.05909090909,4.2,3.97674418605,3.81370328426,3.4,3.66049382716,3.7,4.30434782609,4.0,3.49572649573,4.01639344262,3.32195121951,3.44525547445,4.07692307692,3.59823399558,3.56,3.62204724409,4.8275862069,3.80742459397,3.515625,3.59569517161,4.24137931034,4.39130434783,4.66666666667,4.36144578313,3.63529411765,3.88673621461,3.65281934634,2.93548387097,3.41342756184,3.82640949555,4.07657657658,2.77777777778,3.28440366972,3.74709976798,2.81081081081,4.09090909091,3.71590909091,4.29268292683
5,G3200030,3.90850232104,3.6839882799,3.4813444052,4.174686882,3.80145821649,3.78655885933,3.90142541658,3.56428181322,3.61569769873,4.05547878257,3.7159385253,3.88775510204,3.38645119863,3.62320178475,4.0187090739,3.53766362065,3.42767094505,3.77946659019,3.54446854664,3.79263780984,3.2960950764,3.57076425394,3.93034623218,3.18397827563,3.45221301358,3.68331948484,3.40938226386,3.98414136837,3.88509874327,3.8276117304,3.31834215168,3.6127991852,3.78995901639,4.36193447738,4.17494023344,3.8275862069,3.44935064935,3.36602711435,3.33123553241,4.00364535868,3.70534014628,3.88700984347,4.0162601626,4.24164133739,3.6216351113,3.88057678087,3.61426158166,3.87699876999,4.18101545254,4.06846673095,4.04816414687,3.72584586077,3.56508917287,3.71093996451,3.79361370717,3.82883014459,3.73134561837,3.96157396723,3.37302279238,3.93997877332,3.83093079903,3.14616497829,3.69096744613,4.03338306602,4.07949790795
6,G3700250,3.49557522124,3.37588652482,3.19843342037,4.33333333333,3.0,3.04347826087,3.96551724138,3.51630434783,3.30392156863,3.9375,,2.35,1.4,3.31578947368,2.8,2.89705882353,3.88888888889,3.62962962963,4.33333333333,3.14285714286,3.5,3.29268292683,3.96774193548,,3.66438356164,3.58333333333,3.64601769912,2.0,4.6,3.76146788991,4.33333333333,3.46153846154,2.0,,3.5,4.2,2.88888888889,3.76335877863,3.76119402985,2.25,3.8,2.81081081081,3.66666666667,4.42857142857,4.05882352941,4.11764705882,3.30392156863,2.0,,2.66666666667,2.66666666667,3.85840707965,3.24137931034,3.4589955499,3.63636363636,3.38922155689,3.32701421801,4.35294117647,3.42424242424,2.90721649485,2.81081081081,3.43181818182,3.76923076923,3.0,
7,G3700710,3.48571428571,2.52631578947,3.54022988506,,3.66666666667,3.66666666667,4.875,3.94594594595,3.59420289855,4.06666666667,3.84126984127,,1.5,2.84615384615,3.7323943662,3.22222222222,3.4,3.5,,,3.57142857143,,3.0,3.33333333333,3.7125,3.57142857143,2.53846153846,4.0,,3.81538461538,,3.5,4.0,2.66666666667,4.4,2.66666666667,3.28571428571,3.55555555556,3.5,3.53333333333,3.25,3.70588235294,4.33333333333,,3.89285714286,4.16666666667,3.59420289855,,,,,3.85714285714,3.59420289855,3.51097804391,,3.7037037037,3.41463414634,4.07142857143,,3.14285714286,,3.75,,3.33333333333,
8,G3701190,3.98373205742,3.67409441335,3.52236719478,4.00704225352,3.72995090016,3.67974379504,3.87343043697,3.76523620627,3.54448822505,3.98186794389,4.11360239163,3.74120603015,3.40112201964,3.70027950978,3.71030640669,3.55495847582,3.42431865828,3.90594498669,3.32307692308,3.84391891892,3.36721991701,3.4691588785,3.51336898396,3.38970588235,3.56837209302,3.63056930693,3.37079261672,4.07692307692,4.1061452514,3.91705538122,3.34920634921,3.76005025126,3.83705357143,4.15856777494,4.24671052632,4.0,3.78825995807,3.31442080378,3.26369863014,3.85412667946,3.65227870289,3.58337182448,3.84576485461,3.90243902439,3.58026479106,3.62512768131,3.56869116054,3.30081300813,4.312,4.1148409894,4.10421545667,3.63729977117,3.65156932857,3.67914294324,3.67042889391,3.69403173004,3.70652715496,3.96982498491,3.26205313217,3.73609129815,3.69591491419,3.43674367437,3.40067340067,3.5619047619,4.13993174061
9,G3701790,3.55555555556,3.48,3.42424242424,5.0,4.15384615385,4.24137931034,4.05555555556,4.26530612245,3.26785714286,3.33333333333,4.14285714286,3.76422764228,3.0,3.42424242424,,,3.21951219512,4.05882352941,3.33333333333,4.19565217391,2.83333333333,4.14285714286,2.0,2.63636363636,,2.83333333333,3.36363636364,5.0,2.66666666667,4.038647343,,3.60317460317,5.0,,,4.55555555556,,,,4.66666666667,3.55952380952,3.75,3.93333333333,4.25,4.31531531532,,3.26785714286,3.25,4.66666666667,4.77777777778,4.4,3.74820143885,,3.8956043956,4.36363636364,4.3,3.22727272727,4.1862745098,2.66666666667,,,3.5,4.0,,3.83333333333
