,GISJOIN,Accessories,Active Life,American (New),American (Traditional),Apartments,Appliances,Appliances & Repair,Arts & Crafts,Arts & Entertainment,Asian Fusion,Auto Detailing,Auto Glass Services,Auto Parts & Supplies,Auto Repair,Automotive,Bagels,Bakeries,Banks & Credit Unions,Barbeque,Barbers,Bars,Beauty & Spas,"Beer, Wine & Spirits",Bikes,Body Shops,"Books, Mags, Music & Video",Bookstores,Breakfast & Brunch,Buffets,Burgers,Cafes,Car Dealers,Car Rental,Car Wash,Carpet Cleaning,Caterers,Chicken Wings,Chinese,Chiropractors,Churches,Cinema,Coffee & Tea,Contractors,Convenience Stores,Cosmetic Dentists,Cosmetics & Beauty Supply,Day Spas,Delis,Dentists,Department Stores,Desserts,Diners,Discount Store,Dive Bars,Doctors,Donuts,Drugstores,Dry Cleaning & Laundry,Education,Electronics,Ethnic Food,Event Planning & Services,Eyelash Service,Eyewear & Opticians,Family Practice,Fashion,Fast Food,Financial Services,Fitness & Instruction,Florists,Flowers & Gifts,Food,Furniture Stores,Gas & Service Stations,General Dentistry,Gluten-Free,Golf,Greek,Grocery,Gyms,Hair Removal,Hair Salons,Hair Stylists,Hardware Stores,Health & Medical,Health Markets,Heating & Air Conditioning/HVAC,Hobby Shops,Home & Garden,Home Cleaning,Home Decor,Home Services,Hot Dogs,Hotels,Hotels & Travel,IT Services & Computer Repair,Ice Cream & Frozen Yogurt,Indian,Insurance,Italian,Japanese,Jewelry,Juice Bars & Smoothies,Landscaping,Latin American,Local Services,Lounges,Makeup Artists,Massage,Massage Therapy,Medical Centers,Mediterranean,Men's Clothing,Mexican,Middle Eastern,Mobile Phones,Movers,Music Venues,Nail Salons,Nightlife,Notaries,Nurseries & Gardening,Oil Change Stations,Optometrists,Parks,Party & Event Planning,Performing Arts,Pet Boarding/Pet Sitting,Pet Groomers,Pet Services,Pet Stores,Pet Training,Pets,Photographers,Pizza,Plumbing,Printing Services,Professional Services,Public Services & Government,Pubs,Real Estate,Real Estate Services,Religious Organizations,Restaurants,Salad,Sandwiches,Seafood,Self Storage,Sewing & Alterations,Shipping Centers,Shoe Stores,Shopping,Skin Care,Southern,Specialty Food,Specialty Schools,Sporting Goods,Sports Bars,Sports Wear,Steakhouses,Sushi Bars,Tanning,Tattoo,Tex-Mex,Thai,Thrift Stores,Tires,Tobacco Shops,Toy Stores,Trainers,Transportation,Urgent Care,"Used, Vintage & Consignment",Vape Shops,Vegetarian,Venues & Event Spaces,Veterinarians,Vietnamese,Wine Bars,Women's Clothing,Yoga
0,G0400070000700,,,,,,,,,,,,,,,,,,,,,,,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.33333333333,,,,,,,,,,5.2,,,,,,,4.83333333333,,,,,,,,,,,,,,,3.33333333333,3.33333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,G0400130010101,,11.6153846154,,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0714285714,,,,,,,,,,,,,,,,,,,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,G0400130010102,,12.45,,6.10204081633,,,,,,,,,,,,,,,,,,4.0,,,,,,10.6666666667,,,,,,,,,,,,22.3333333333,,,,,,,,10.6666666667,,,,,,,,,,,,,,14.25,,,,,,,8.33333333333,,,4.6,,,,,17.5555555556,,,,,,,,,,,,,,,18.75,,,12.8541666667,,,,,5.82,,,,,,,,,,,,,,6.82608695652,,,,,4.0,,,,,,,15.0740740741,,,,,,,,,,18.75,,,6.82608695652,,,,22.3333333333,6.16666666667,,,4.41860465116,,,,,6.82608695652,,,,,,,,,,,,3.88888888889,,,,,,8.33333333333,,,,,,11.7777777778,,,,,
3,G0400130030401,7.85714285714,11.3333333333,6.42857142857,5.25,,,,9.0,5.16438356164,,,,,,,,4.6,,,5.66666666667,6.34615384615,8.27551020408,12.8,,,,,5.13043478261,,,5.17045454545,,,,,,,4.0,,,,5.3,,,,4.0,8.34523809524,13.5,,,,,,,4.5,,,1.0,,,,8.44230769231,,,,7.85714285714,,5.0,,7.5,7.5,10.6979166667,,,,6.6,8.66666666667,8.4,4.2,,,9.05882352941,,4.15384615385,4.5,,5.85714285714,9.0,4.15384615385,,,6.69230769231,,8.48701298701,8.48701298701,4.25,7.625,,5.0,7.23255813953,,4.5,,,,2.85714285714,,,,,,7.26666666667,,6.74485596708,,,,4.97058823529,4.92307692308,5.35106382979,,,,,15.3333333333,,,,,,,,,,9.06666666667,5.85714285714,,4.25,,,,,,7.23862068966,,8.2,,,,,,5.67567567568,,,,,,,,5.0,,,,,,,,5.6,,,,,,,,,,,6.39130434783,7.85714285714,
4,G0400130030402,,10.0131578947,8.27751196172,6.97425742574,,,,15.0,8.37288135593,11.3770491803,3.0,,,5.69230769231,4.94444444444,8.33333333333,,,8.02240896359,5.28571428571,7.65853658537,6.76744186047,,6.73684210526,,,,7.29078014184,,,8.16504854369,,,3.0,,10.0,,,,,,6.72180451128,,,,,5.0,,,5.0,,8.0067114094,,6.66666666667,,,,,,,,11.5384615385,,,,5.64705882353,,,8.75,,9.875,6.91237113402,6.0,,,8.21875,8.33333333333,9.57142857143,,,,6.40909090909,,,8.75,,,4.375,6.625,,6.77777777778,8.75,6.4,,9.91666666667,,,9.26315789474,,6.45945945946,,5.0,,,,12.0,,,,8.75,,,,5.9963898917,,,,8.87234042553,7.27272727273,7.11009174312,,,,,13.2352941176,,,,,,,,5.0,,5.74074074074,,,,5.66666666667,,,,,7.43890518084,,,7.6036036036,,,,6.4,6.68067226891,7.0,,8.85714285714,,6.73684210526,,,6.94793926247,,,,,,10.1666666667,5.69230769231,,,8.75,,,6.14285714286,,,,,,6.14285714286,,
5,G0400130040502,,5.22222222222,3.33333333333,5.47169811321,,,,,6.5,,,,,,9.18181818182,,6.85714285714,,7.1,,3.75,,,,,,,7.10447761194,,5.45714285714,6.04,,,,,,,4.75,,,,5.75,,13.5,,,,7.70909090909,,,,2.0,,,,8.0,,,,,,5.12,,,,,4.47826086957,,,,,7.7868852459,,13.5,,,4.4,,,,,,,,,,,,,,,,,5.12,5.11111111111,,6.8125,,,6.52941176471,,,,,,,,,,,,6.85714285714,,5.68181818182,,,,,,5.37931034483,,,,,,,,,,,,,5.0,,6.925,,,,18.0,,,,,6.03265306122,,6.71428571429,,,,,,,,,,,,2.75,,3.84210526316,,,,4.75,,,,,,,5.0,,,,,,5.0,,,,
6,G0400130040506,,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75,,,,,,,,,,,,,,,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75,,,,,
7,G0400130040507,,,3.83333333333,5.61111111111,,,,5.0,3.83333333333,,6.07692307692,5.66666666667,7.85714285714,8.26086956522,6.76595744681,,,,,,3.83333333333,,,,,,,,,,3.66666666667,6.0,7.125,6.07692307692,,,,4.83333333333,,,,,,,,,,,,,,,,,4.19230769231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.33333333333,4.51612903226,,,,19.8235294118,,,4.41176470588,,,7.125,,,,,6.25925925926,,,,,,4.57142857143,,,,,,,,,,,4.57142857143,3.83333333333,,3.83333333333,,,5.66666666667,,,,,7.5,3.5,6.5,,,6.0,,11.6842105263,6.25,,4.66666666667,,,,,,6.53,,,4.83333333333,4.57142857143,,,,17.6,,,,,,3.83333333333,,,,,,,,,7.22727272727,,,,,,,,,,4.66666666667,,,,
8,G0400130040512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,10.0,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,
9,G0400130040515,,4.64285714286,,5.8,,,,,8.33333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.14285714286,,,,,7.0,,,,,,,,,,4.14285714286,,,,,,,,,,,,,,,,,,5.82352941176,,,,,,,,,,,,,,,,,,,5.33333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.85714285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.14285714286,,,,,
