ZCTA5,Zip5,LANDSQMT,WATERSQMT,LANDSQMI,WATERSQMI,POPULATION,HSGUNITS,INTPTLAT,INTPTLON
Z00601,601,166659789,799296,64.35,0.31,18570,7744,18.180556,-66.749961
Z00602,602,79288158,4446273,30.61,1.72,41520,18073,18.362268,-67.17613
Z00603,603,81880442,183425,31.61,0.07,54689,25653,18.455183,-67.119887
Z00606,606,109580061,12487,42.31,0,6615,2877,18.158345,-66.932911
Z00610,610,93021467,4172001,35.92,1.61,29016,12618,18.290955,-67.125868
Z00612,612,175106243,9809163,67.61,3.79,67010,30992,18.402239,-66.7114
Z00616,616,29870473,149147,11.53,0.06,11017,4896,18.420413,-66.671979
Z00617,617,39347158,3987969,15.19,1.54,24597,10594,18.445146,-66.559696
Z00622,622,75077028,1694917,28.99,0.65,7853,8714,17.991245,-67.153993
Z00623,623,98367847,1633540,37.98,0.63,43061,21426,18.083435,-67.153877
Z00624,624,111791516,2524878,43.16,0.97,26241,9905,18.063275,-66.715966
Z00627,627,120058334,3507026,46.35,1.35,35159,14431,18.41503,-66.861879
Z00631,631,10414662,669970,4.02,0.26,1852,842,18.190607,-66.832041
Z00637,637,89226022,25323,34.45,0.01,25287,10962,18.076713,-66.947389
Z00638,638,171055117,493335,66.04,0.19,18941,7805,18.291088,-66.513306
Z00641,641,242237480,3466212,93.53,1.34,31191,13358,18.262962,-66.71402
Z00646,646,53611823,3321248,20.7,1.28,38199,16699,18.433167,-66.285941
Z00647,647,39379804,8013314,15.2,3.09,6172,3482,17.963614,-66.947127
Z00650,650,79052810,557181,30.52,0.22,14998,6124,18.349416,-66.578079
Z00652,652,17906137,16436,6.91,0.01,4715,1947,18.451935,-66.603113
Z00653,653,39477273,5203941,15.24,2.01,13307,6217,17.985452,-66.888933
Z00656,656,83968290,4356121,32.42,1.68,21481,8680,18.053539,-66.792931
Z00659,659,108211415,3039180,41.78,1.17,41953,17365,18.407221,-66.809008
Z00660,660,29380814,486,11.34,0,17250,7783,18.134645,-67.116158
Z00662,662,114907988,5341043,44.37,2.06,43282,20199,18.467481,-67.015974
Z00664,664,117897373,3405,45.52,0,16784,6590,18.213419,-66.589613
Z00667,667,156201164,28264208,60.31,10.91,25968,12508,18.003422,-67.03581
Z00669,669,159419203,168344,61.55,0.06,29744,12458,18.270899,-66.866375
Z00670,670,118025360,357819,45.57,0.14,9807,3973,18.236832,-66.990114
Z00674,674,116400264,6903390,44.94,2.67,44457,19409,18.422908,-66.489337
Z00676,676,130636635,56483,50.44,0.02,40316,16887,18.377751,-67.080344
Z00677,677,37137111,3594951,14.34,1.39,15272,9730,18.33256,-67.227006
Z00678,678,68274095,3796687,26.36,1.47,27819,11619,18.434099,-66.927384
Z00680,680,166248984,19828643,64.19,7.66,58140,27992,18.181938,-67.133802
Z00682,682,37348163,6330100,14.42,2.44,32615,15489,18.221443,-67.156062
Z00683,683,135168308,29361,52.19,0.01,33772,15219,18.1078,-67.037263
Z00685,685,200808224,2058239,77.53,0.79,42831,18877,18.332927,-66.959875
Z00687,687,100675764,140026,38.87,0.05,32610,12381,18.318386,-66.418034
Z00688,688,82401202,77467,31.82,0.03,13543,5353,18.382264,-66.626438
Z00690,690,7291346,12393,2.82,0,6255,2773,18.49551,-67.098671
Z00692,692,69307906,1999296,26.76,0.77,37511,16026,18.410187,-66.336556
Z00693,693,101838924,3653903,39.32,1.41,61038,25884,18.423023,-66.39723
Z00694,694,2043548,1957116,0.79,0.76,328,188,18.48237,-66.391079
Z00698,698,180309254,7761848,69.62,3,41782,17924,18.064848,-66.856319
